payment_type,payment_txn_id,payment_txn_success,failure_reason
Internet Banking,66038,Y, 
Card,74112,N,Invalid CVV
Internet Banking,85141,Y, 
Internet Banking,99497,N,Invalid Internet Banking Account
Wallet,61929,N,Invalid CVV
Card,87677,N,Invalid CVV
Internet Banking,64662,N,Invalid Card
Card,64263,N,Invalid Internet Banking Account
Internet Banking,75113,N,Invalid UPI Account
UPI,23185,N,Invalid Internet Banking Account
Wallet,19683,Y, 
Internet Banking,13345,N,Invalid Internet Banking Account
Card,34797,Y, 
Internet Banking,83486,Y, 
UPI,20085,Y, 
Internet Banking,27069,N,Invalid Internet Banking Account
UPI,82429,N,Invalid CVV
UPI,23218,Y, 
Internet Banking,82319,N,Invalid Card
Internet Banking,64741,N,Invalid Internet Banking Account
Card,61686,N,Invalid UPI Account
Internet Banking,38885,N,Invalid Internet Banking Account
Wallet,49515,N,Invalid CVV
Card,83426,N,Invalid Internet Banking Account
Card,58707,Y, 
Internet Banking,60373,N,Invalid UPI Account
UPI,12915,N,Invalid Internet Banking Account
UPI,10458,Y, 
Internet Banking,84506,N,Invalid Card
UPI,71917,Y, 
UPI,62395,Y, 
UPI,10611,Y, 
Internet Banking,23195,N,Invalid Card
Wallet,63641,N,Invalid Internet Banking Account
Wallet,96701,Y, 
Card,58088,Y, 
Internet Banking,31344,N,Invalid Internet Banking Account
Card,50925,Y, 
Card,28752,Y, 
Card,40815,N,Invalid Internet Banking Account
Internet Banking,17079,Y, 
Wallet,88011,N,Invalid Card
Internet Banking,95564,Y, 
Wallet,49543,N,Invalid Internet Banking Account
Wallet,81203,N,Invalid UPI Account
Wallet,94712,Y, 
UPI,84055,N,Invalid Internet Banking Account
Card,78445,N,Invalid CVV
UPI,40727,Y, 
Card,29346,Y, 
Internet Banking,81082,N,Invalid UPI Account
Wallet,74247,N,Invalid Card
Wallet,99368,N,Invalid CVV
Card,99667,N,Invalid CVV
Wallet,18278,N,Invalid Card
Wallet,87612,N,Invalid CVV
Wallet,99631,Y, 
Card,35656,N,Invalid UPI Account
Internet Banking,50664,N,Invalid UPI Account
Internet Banking,75970,N,Invalid Card
Wallet,13431,N,Invalid Internet Banking Account
Wallet,69582,N,Invalid CVV
UPI,58689,Y, 
Wallet,70317,N,Invalid Internet Banking Account
Wallet,31063,Y, 
Wallet,65956,N,Invalid CVV
Wallet,30253,N,Invalid CVV
Wallet,30994,N,Invalid Internet Banking Account
Internet Banking,80355,N,Invalid CVV
UPI,46968,N,Invalid UPI Account
Internet Banking,61222,N,Invalid CVV
Card,60340,Y, 
Internet Banking,19836,Y, 
Card,17796,N,Invalid CVV
Card,82097,N,Invalid CVV
UPI,12380,Y, 
Wallet,68692,N,Invalid CVV
Card,71349,N,Invalid UPI Account
Internet Banking,86148,Y, 
Internet Banking,17358,Y, 
Wallet,34711,N,Invalid Card
Wallet,84527,Y, 
UPI,20197,Y, 
UPI,89168,N,Invalid CVV
Wallet,56934,N,Invalid Internet Banking Account
UPI,37467,Y, 
UPI,30275,N,Invalid CVV
Internet Banking,79694,N,Invalid Internet Banking Account
UPI,86988,Y, 
Wallet,60802,N,Invalid UPI Account
Internet Banking,26462,Y, 
Wallet,99007,N,Invalid CVV
UPI,71741,Y, 
Wallet,73894,Y, 
UPI,61810,N,Invalid UPI Account
Card,76354,Y, 
Internet Banking,88612,N,Invalid CVV
UPI,16966,Y, 
UPI,14212,N,Invalid UPI Account
Wallet,14091,N,Invalid Internet Banking Account
Wallet,25799,N,Invalid CVV
UPI,28910,Y, 
UPI,50200,N,Invalid UPI Account
Card,39531,N,Invalid UPI Account
UPI,58623,N,Invalid Card
UPI,56925,N,Invalid Internet Banking Account
UPI,31030,Y, 
Card,70538,Y, 
Internet Banking,21640,N,Invalid Internet Banking Account
Internet Banking,47786,Y, 
UPI,86110,N,Invalid CVV
Card,39824,N,Invalid CVV
Internet Banking,40558,N,Invalid Card
Internet Banking,42257,N,Invalid CVV
Internet Banking,84711,Y, 
Wallet,38067,N,Invalid Internet Banking Account
Internet Banking,56916,Y, 
Card,76336,N,Invalid Card
Card,74754,N,Invalid CVV
Internet Banking,12005,N,Invalid Card
UPI,74790,Y, 
Wallet,69762,Y, 
UPI,90538,Y, 
Card,51850,Y, 
Card,70436,Y, 
Internet Banking,20363,N,Invalid CVV
Card,81561,N,Invalid CVV
Internet Banking,87917,N,Invalid Card
Internet Banking,69847,N,Invalid Internet Banking Account
UPI,21679,Y, 
UPI,88117,Y, 
Internet Banking,58507,N,Invalid CVV
Wallet,56368,N,Invalid Internet Banking Account
Wallet,11838,Y, 
Wallet,37612,Y, 
Internet Banking,91502,N,Invalid CVV
UPI,50205,Y, 
UPI,73315,N,Invalid UPI Account
Wallet,60948,N,Invalid UPI Account
Card,83339,Y, 
UPI,46913,N,Invalid Card
UPI,66205,N,Invalid Internet Banking Account
Wallet,31483,N,Invalid Internet Banking Account
UPI,80346,Y, 
UPI,54498,N,Invalid Card
Wallet,20100,Y, 
Wallet,31512,Y, 
Internet Banking,64865,N,Invalid Card
Internet Banking,36918,Y, 
Card,15023,Y, 
UPI,32126,N,Invalid CVV
Internet Banking,83045,N,Invalid UPI Account
Wallet,58486,N,Invalid UPI Account
Internet Banking,41577,N,Invalid UPI Account
Internet Banking,43869,Y, 
Card,75393,Y, 
UPI,54076,N,Invalid Internet Banking Account
Card,26023,Y, 
UPI,89741,N,Invalid CVV
UPI,16572,Y, 
Card,64731,Y, 
UPI,57014,Y, 
UPI,99860,N,Invalid Internet Banking Account
Card,77861,N,Invalid Card
Card,47416,Y, 
UPI,24498,Y, 
Wallet,18971,N,Invalid UPI Account
Card,23910,N,Invalid Internet Banking Account
UPI,73121,Y, 
Internet Banking,35759,Y, 
UPI,22200,N,Invalid Internet Banking Account
UPI,58308,Y, 
Wallet,42461,N,Invalid Internet Banking Account
UPI,83340,N,Invalid CVV
Card,90661,N,Invalid CVV
Internet Banking,11854,Y, 
Internet Banking,16602,N,Invalid CVV
Wallet,39449,Y, 
Internet Banking,90890,Y, 
Wallet,72141,N,Invalid CVV
Card,51612,N,Invalid UPI Account
Wallet,41650,Y, 
Wallet,42286,Y, 
Wallet,70884,Y, 
Wallet,88675,N,Invalid Internet Banking Account
Internet Banking,31499,N,Invalid UPI Account
Card,69935,N,Invalid UPI Account
Card,37948,N,Invalid Internet Banking Account
Wallet,68022,Y, 
Internet Banking,58753,N,Invalid CVV
UPI,44012,Y, 
Card,89296,N,Invalid UPI Account
Internet Banking,97035,N,Invalid Internet Banking Account
Card,87610,Y, 
UPI,57368,Y, 
Card,31309,N,Invalid Internet Banking Account
Internet Banking,32565,N,Invalid UPI Account
Wallet,72446,N,Invalid UPI Account
Wallet,86018,N,Invalid UPI Account
Wallet,69596,N,Invalid UPI Account
Internet Banking,28261,N,Invalid CVV
Wallet,44499,N,Invalid Card
Internet Banking,77849,N,Invalid Card
Wallet,89452,N,Invalid UPI Account
Wallet,42007,Y, 
Wallet,43432,N,Invalid Card
UPI,94855,N,Invalid Internet Banking Account
UPI,68889,Y, 
Card,28710,Y, 
UPI,49653,Y, 
UPI,49037,N,Invalid Internet Banking Account
UPI,46095,Y, 
UPI,55475,Y, 
Wallet,69195,Y, 
Card,70659,Y, 
Card,54023,Y, 
UPI,69388,N,Invalid Card
Wallet,34731,N,Invalid UPI Account
Internet Banking,89825,Y, 
Wallet,75390,N,Invalid Card
Card,34177,Y, 
Internet Banking,88663,N,Invalid UPI Account
UPI,35164,Y, 
Wallet,89321,Y, 
UPI,35175,N,Invalid CVV
UPI,82464,Y, 
UPI,74961,N,Invalid UPI Account
Internet Banking,30067,N,Invalid Card
Card,53897,N,Invalid Card
UPI,64522,N,Invalid Card
Wallet,32664,N,Invalid Card
Wallet,32023,Y, 
Internet Banking,14558,N,Invalid CVV
Internet Banking,33245,Y, 
UPI,92462,N,Invalid Card
Internet Banking,80889,Y, 
UPI,92532,N,Invalid CVV
Wallet,29933,N,Invalid Card
Wallet,66658,N,Invalid CVV
Internet Banking,64721,N,Invalid Card
Wallet,15228,N,Invalid Internet Banking Account
Internet Banking,25520,N,Invalid Card
Wallet,35867,N,Invalid CVV
Card,64217,N,Invalid CVV
Internet Banking,71837,N,Invalid Card
Internet Banking,39813,N,Invalid Internet Banking Account
Wallet,85120,Y, 
Internet Banking,44819,Y, 
Wallet,15087,Y, 
Wallet,42883,Y, 
UPI,34903,N,Invalid Internet Banking Account
UPI,35629,Y, 
Internet Banking,74308,Y, 
UPI,29331,N,Invalid Card
Wallet,11575,Y, 
Card,90056,N,Invalid UPI Account
UPI,93547,N,Invalid Internet Banking Account
Card,65934,N,Invalid CVV
UPI,83233,Y, 
Internet Banking,27611,N,Invalid Card
Card,48916,Y, 
Wallet,84842,Y, 
UPI,68704,N,Invalid Card
Card,68927,Y, 
Wallet,46129,N,Invalid Card
UPI,29921,Y, 
Internet Banking,98011,Y, 
Card,35082,N,Invalid UPI Account
Card,96436,N,Invalid Card
UPI,51062,Y, 
Internet Banking,81913,Y, 
UPI,33618,N,Invalid UPI Account
UPI,96550,Y, 
Internet Banking,89333,Y, 
Card,17436,Y, 
Card,29543,Y, 
Internet Banking,67100,N,Invalid CVV
Internet Banking,38072,N,Invalid Internet Banking Account
Internet Banking,93436,N,Invalid Card
Internet Banking,68218,Y, 
UPI,15809,N,Invalid CVV
UPI,19573,N,Invalid UPI Account
Wallet,32728,Y, 
Internet Banking,94752,N,Invalid UPI Account
Card,76401,N,Invalid Internet Banking Account
Card,96906,Y, 
UPI,87957,N,Invalid UPI Account
Wallet,12842,N,Invalid CVV
Wallet,55266,Y, 
UPI,21508,Y, 
Internet Banking,88121,Y, 
Internet Banking,66422,Y, 
Card,74665,N,Invalid Internet Banking Account
Internet Banking,21748,Y, 
Internet Banking,73344,N,Invalid UPI Account
Internet Banking,67817,N,Invalid Card
Card,72936,N,Invalid Card
Wallet,64475,Y, 
Card,61030,Y, 
UPI,52839,N,Invalid Internet Banking Account
Wallet,15803,N,Invalid CVV
UPI,62946,Y, 
UPI,29510,N,Invalid Card
Wallet,28507,N,Invalid Card
UPI,79296,Y, 
Internet Banking,69802,N,Invalid Card
Card,40644,Y, 
UPI,31835,N,Invalid Internet Banking Account
Internet Banking,77200,Y, 
Internet Banking,44107,N,Invalid CVV
Wallet,24202,N,Invalid Internet Banking Account
Internet Banking,62730,Y, 
UPI,98095,Y, 
Internet Banking,49481,Y, 
Internet Banking,35744,N,Invalid UPI Account
Card,43463,N,Invalid Card
Wallet,69817,N,Invalid UPI Account
Card,34629,Y, 
Card,44742,Y, 
Internet Banking,53680,N,Invalid UPI Account
Card,84054,N,Invalid Internet Banking Account
Internet Banking,71421,Y, 
UPI,68753,N,Invalid UPI Account
Internet Banking,52405,N,Invalid UPI Account
Card,85123,Y, 
UPI,82703,N,Invalid CVV
Card,74838,Y, 
Card,36149,N,Invalid CVV
Wallet,87244,Y, 
Wallet,27728,Y, 
UPI,87081,N,Invalid Card
Internet Banking,22101,Y, 
Card,82406,N,Invalid CVV
UPI,27092,N,Invalid Internet Banking Account
UPI,30792,N,Invalid Card
Card,38949,N,Invalid UPI Account
Internet Banking,93774,Y, 
UPI,27672,Y, 
UPI,29245,N,Invalid CVV
Card,74086,N,Invalid CVV
Card,28776,Y, 
UPI,29465,N,Invalid UPI Account
Internet Banking,51858,N,Invalid Internet Banking Account
Card,94990,Y, 
UPI,80524,Y, 
UPI,90289,Y, 
Card,93748,N,Invalid CVV
Wallet,80309,Y, 
Internet Banking,99582,Y, 
Card,87731,Y, 
Internet Banking,68534,Y, 
Internet Banking,54640,N,Invalid CVV
UPI,85120,N,Invalid Card
Wallet,28013,N,Invalid Card
UPI,97925,N,Invalid Card
Internet Banking,37295,Y, 
Wallet,26643,Y, 
Card,80016,N,Invalid UPI Account
Internet Banking,95946,N,Invalid UPI Account
Wallet,38376,N,Invalid Internet Banking Account
Wallet,60420,Y, 
UPI,82715,N,Invalid CVV
UPI,66094,Y, 
Wallet,32565,Y, 
UPI,63459,N,Invalid CVV
Card,74352,N,Invalid Internet Banking Account
Wallet,89476,N,Invalid UPI Account
Card,51396,Y, 
Internet Banking,21702,Y, 
Internet Banking,32435,N,Invalid CVV
Wallet,94598,N,Invalid Card
Internet Banking,33543,N,Invalid UPI Account
UPI,11068,Y, 
Card,63397,N,Invalid Internet Banking Account
Internet Banking,68586,N,Invalid UPI Account
Wallet,29156,Y, 
Card,30626,N,Invalid UPI Account
Internet Banking,24141,Y, 
Wallet,32626,Y, 
Internet Banking,38350,N,Invalid Internet Banking Account
Card,89410,Y, 
UPI,74039,N,Invalid Card
UPI,50860,N,Invalid Internet Banking Account
Card,66508,N,Invalid Internet Banking Account
Internet Banking,86168,Y, 
Card,16326,Y, 
Internet Banking,43374,N,Invalid CVV
UPI,46656,Y, 
Card,49913,Y, 
Internet Banking,94159,N,Invalid CVV
UPI,30959,Y, 
Wallet,20138,N,Invalid Internet Banking Account
Internet Banking,36067,N,Invalid Internet Banking Account
Card,96525,Y, 
UPI,47327,Y, 
Wallet,29209,Y, 
Internet Banking,41527,N,Invalid Card
UPI,69443,Y, 
UPI,95365,Y, 
Wallet,34076,N,Invalid CVV
Wallet,28527,N,Invalid Card
Internet Banking,63667,Y, 
Wallet,62402,Y, 
Internet Banking,75956,N,Invalid Card
Internet Banking,19230,N,Invalid UPI Account
Card,81429,Y, 
Wallet,26010,N,Invalid UPI Account
UPI,63310,Y, 
Internet Banking,76169,Y, 
Card,64977,N,Invalid Internet Banking Account
Internet Banking,76368,Y, 
UPI,40875,N,Invalid Internet Banking Account
Wallet,79654,Y, 
UPI,47801,Y, 
Wallet,58846,Y, 
Internet Banking,75463,N,Invalid Internet Banking Account
Wallet,54076,N,Invalid UPI Account
Wallet,33175,Y, 
Internet Banking,83195,Y, 
Wallet,99984,N,Invalid Card
Internet Banking,53568,Y, 
Wallet,73186,N,Invalid UPI Account
Internet Banking,31324,N,Invalid Internet Banking Account
Card,63813,Y, 
UPI,78600,N,Invalid UPI Account
UPI,27013,N,Invalid UPI Account
Card,58733,N,Invalid Internet Banking Account
Card,45212,Y, 
UPI,92168,N,Invalid Card
Wallet,40816,N,Invalid UPI Account
Internet Banking,54799,N,Invalid Internet Banking Account
Internet Banking,93094,N,Invalid Internet Banking Account
Card,90728,Y, 
Wallet,90723,Y, 
Wallet,68925,N,Invalid UPI Account
Internet Banking,49183,N,Invalid Card
Card,38099,N,Invalid Card
Wallet,21965,Y, 
Card,53414,Y, 
Card,16407,Y, 
Card,69317,Y, 
UPI,30303,Y, 
Wallet,88736,N,Invalid Internet Banking Account
Wallet,73767,N,Invalid Internet Banking Account
Internet Banking,35718,Y, 
Card,47182,N,Invalid Internet Banking Account
Internet Banking,71607,N,Invalid CVV
Internet Banking,42949,Y, 
Card,22957,Y, 
UPI,91858,N,Invalid Card
UPI,54906,N,Invalid Card
Internet Banking,24661,Y, 
UPI,14308,N,Invalid Internet Banking Account
Card,98844,N,Invalid UPI Account
Card,54388,N,Invalid Internet Banking Account
Card,45504,N,Invalid UPI Account
UPI,68782,N,Invalid Card
Wallet,43857,Y, 
UPI,89504,N,Invalid UPI Account
UPI,21860,Y, 
Wallet,99666,Y, 
Internet Banking,17883,N,Invalid CVV
Internet Banking,36663,N,Invalid Card
Card,39574,Y, 
Card,95114,N,Invalid CVV
Wallet,28135,N,Invalid UPI Account
Card,39221,N,Invalid CVV
Internet Banking,38666,N,Invalid CVV
UPI,39343,Y, 
Card,43317,N,Invalid Card
Internet Banking,70216,N,Invalid CVV
Wallet,54302,N,Invalid Internet Banking Account
Wallet,21571,Y, 
UPI,31192,N,Invalid Card
UPI,23322,N,Invalid UPI Account
Internet Banking,18074,Y, 
UPI,72493,Y, 
Wallet,13684,Y, 
UPI,33727,N,Invalid Internet Banking Account
UPI,44378,Y, 
UPI,93286,N,Invalid UPI Account
Internet Banking,47475,Y, 
Internet Banking,10644,Y, 
UPI,54461,Y, 
UPI,66105,N,Invalid CVV
Internet Banking,84044,N,Invalid Internet Banking Account
Card,45759,Y, 
UPI,99226,N,Invalid Card
UPI,30232,N,Invalid Card
Wallet,42824,Y, 
Internet Banking,88637,N,Invalid UPI Account
Card,32252,N,Invalid CVV
Wallet,78263,Y, 
Wallet,54250,N,Invalid CVV
UPI,66256,Y, 
Internet Banking,73036,N,Invalid UPI Account
Card,76940,Y, 
Internet Banking,65088,Y, 
Internet Banking,27081,N,Invalid Card
Wallet,99625,N,Invalid Internet Banking Account
Internet Banking,42628,N,Invalid CVV
Card,81683,N,Invalid Card
Card,45748,Y, 
UPI,38625,N,Invalid Internet Banking Account
UPI,92874,Y, 
Wallet,51910,Y, 
Card,22004,Y, 
Wallet,40120,N,Invalid CVV
Wallet,44759,N,Invalid UPI Account
Card,31727,Y, 
Wallet,21047,N,Invalid Card
Wallet,23974,N,Invalid CVV
Internet Banking,88730,Y, 
Internet Banking,38367,Y, 
Wallet,23622,N,Invalid UPI Account
Internet Banking,76590,Y, 
UPI,60093,N,Invalid CVV
Wallet,19310,N,Invalid Card
Wallet,98098,N,Invalid Card
UPI,72026,Y, 
UPI,81871,Y, 
UPI,70322,Y, 
UPI,55507,N,Invalid Internet Banking Account
Card,94188,N,Invalid Internet Banking Account
Card,10840,N,Invalid Card
Wallet,55267,N,Invalid CVV
Card,38255,Y, 
UPI,87298,N,Invalid Internet Banking Account
Internet Banking,60354,N,Invalid CVV
Wallet,20816,N,Invalid Internet Banking Account
UPI,45527,Y, 
Wallet,82095,N,Invalid UPI Account
Wallet,56310,Y, 
Wallet,79362,N,Invalid Internet Banking Account
UPI,79566,Y, 
Card,94773,Y, 
Card,30057,Y, 
Card,72852,N,Invalid UPI Account
Wallet,13127,N,Invalid UPI Account
Card,31251,Y, 
Wallet,49442,Y, 
Wallet,61310,Y, 
Card,64360,N,Invalid CVV
Card,73949,Y, 
UPI,62353,Y, 
Internet Banking,78645,N,Invalid Internet Banking Account
Card,54536,N,Invalid UPI Account
Wallet,16456,Y, 
Internet Banking,99441,Y, 
UPI,53126,N,Invalid Card
UPI,34229,Y, 
Card,28100,Y, 
Wallet,70026,N,Invalid Card
Card,50014,N,Invalid Internet Banking Account
Internet Banking,38877,Y, 
Internet Banking,87306,Y, 
UPI,90973,N,Invalid CVV
UPI,34133,N,Invalid CVV
Wallet,59499,N,Invalid Card
Wallet,81965,Y, 
Internet Banking,51648,Y, 
Internet Banking,84029,Y, 
UPI,30357,N,Invalid Internet Banking Account
Wallet,51888,N,Invalid Card
UPI,73429,N,Invalid UPI Account
Wallet,47114,Y, 
Wallet,71632,N,Invalid UPI Account
Internet Banking,60196,Y, 
Internet Banking,84154,Y, 
Wallet,32933,Y, 
Internet Banking,23531,Y, 
Card,91616,Y, 
UPI,59109,Y, 
Card,87087,Y, 
UPI,25193,N,Invalid Card
Card,92396,N,Invalid Internet Banking Account
Wallet,11440,N,Invalid UPI Account
Card,60956,Y, 
Card,31943,Y, 
Internet Banking,75696,N,Invalid Internet Banking Account
UPI,54913,Y, 
Internet Banking,11056,N,Invalid Card
Card,93662,N,Invalid Card
UPI,85817,Y, 
Wallet,12415,N,Invalid UPI Account
Wallet,39715,N,Invalid Internet Banking Account
Card,94462,N,Invalid Internet Banking Account
UPI,93798,N,Invalid CVV
UPI,60942,N,Invalid UPI Account
Wallet,51622,N,Invalid Internet Banking Account
Internet Banking,77539,N,Invalid UPI Account
Internet Banking,74216,N,Invalid CVV
UPI,81261,N,Invalid UPI Account
Card,42885,N,Invalid Card
Internet Banking,30763,Y, 
UPI,13312,Y, 
Wallet,58113,Y, 
Wallet,79192,N,Invalid UPI Account
Wallet,57144,N,Invalid UPI Account
Card,95313,Y, 
Wallet,10229,N,Invalid Internet Banking Account
Card,66336,N,Invalid Internet Banking Account
Internet Banking,89187,Y, 
UPI,82703,Y, 
Internet Banking,33110,Y, 
Card,11201,Y, 
Wallet,37438,Y, 
Internet Banking,64932,N,Invalid Internet Banking Account
UPI,61901,Y, 
Wallet,18759,N,Invalid UPI Account
Internet Banking,70160,N,Invalid Internet Banking Account
Internet Banking,45860,N,Invalid CVV
UPI,61394,Y, 
Card,28580,N,Invalid Card
Wallet,92002,N,Invalid Internet Banking Account
Card,21823,Y, 
Card,56123,Y, 
Internet Banking,45585,N,Invalid Card
Wallet,44828,N,Invalid CVV
Wallet,58699,N,Invalid CVV
Internet Banking,70063,N,Invalid CVV
Internet Banking,50059,N,Invalid UPI Account
Card,50732,N,Invalid CVV
Card,12862,Y, 
Card,45804,N,Invalid Card
UPI,44644,N,Invalid UPI Account
Card,67069,Y, 
Card,34843,N,Invalid Card
Wallet,51248,N,Invalid Internet Banking Account
Card,53613,Y, 
Wallet,34196,Y, 
Wallet,77382,Y, 
UPI,13585,Y, 
Internet Banking,22015,Y, 
Card,67487,N,Invalid CVV
Internet Banking,56281,N,Invalid CVV
Card,74826,Y, 
Wallet,21353,Y, 
Card,22829,Y, 
Card,97238,N,Invalid UPI Account
Card,87870,N,Invalid UPI Account
Internet Banking,57726,Y, 
Wallet,92179,N,Invalid Internet Banking Account
Card,88250,N,Invalid CVV
Card,32587,N,Invalid CVV
Card,85436,Y, 
Card,64374,Y, 
Card,43335,N,Invalid Internet Banking Account
Internet Banking,84980,N,Invalid Card
Card,95184,Y, 
Wallet,51506,N,Invalid UPI Account
Card,78167,N,Invalid CVV
Wallet,23115,Y, 
Card,18522,Y, 
Internet Banking,36242,Y, 
UPI,20765,N,Invalid CVV
Wallet,71348,N,Invalid UPI Account
UPI,99239,N,Invalid CVV
Internet Banking,26885,Y, 
UPI,30328,N,Invalid UPI Account
Internet Banking,15549,N,Invalid Internet Banking Account
UPI,88904,N,Invalid Internet Banking Account
Wallet,25969,Y, 
Internet Banking,27931,N,Invalid Card
UPI,61452,N,Invalid Card
Wallet,48193,Y, 
Internet Banking,14320,N,Invalid Internet Banking Account
Wallet,30007,Y, 
Internet Banking,91952,N,Invalid Card
Card,39083,N,Invalid CVV
UPI,69725,N,Invalid CVV
Card,64654,N,Invalid UPI Account
Internet Banking,70233,Y, 
Internet Banking,62932,Y, 
Internet Banking,52580,N,Invalid UPI Account
UPI,14921,N,Invalid CVV
Internet Banking,68909,Y, 
Internet Banking,68811,N,Invalid CVV
Card,74861,Y, 
Card,53754,Y, 
Internet Banking,60837,N,Invalid Internet Banking Account
Internet Banking,64154,N,Invalid Internet Banking Account
Card,16768,Y, 
Wallet,83542,Y, 
Wallet,24388,N,Invalid CVV
Card,26823,Y, 
Wallet,78485,Y, 
Wallet,50956,Y, 
UPI,59264,Y, 
Internet Banking,48450,Y, 
Card,28779,Y, 
Internet Banking,70155,Y, 
Card,30355,N,Invalid CVV
UPI,71964,N,Invalid Internet Banking Account
Wallet,94507,Y, 
Wallet,99921,N,Invalid UPI Account
Internet Banking,99509,N,Invalid Internet Banking Account
Card,48748,Y, 
Internet Banking,64492,Y, 
Card,47668,N,Invalid UPI Account
UPI,60421,N,Invalid CVV
UPI,90437,Y, 
Card,68196,N,Invalid Card
Wallet,81071,N,Invalid CVV
Card,41644,Y, 
UPI,40494,Y, 
Card,86700,Y, 
Wallet,92293,Y, 
UPI,33221,N,Invalid Card
Wallet,64414,N,Invalid UPI Account
Card,86273,N,Invalid Card
Wallet,90000,Y, 
Internet Banking,19001,N,Invalid Internet Banking Account
Internet Banking,75988,Y, 
UPI,21785,N,Invalid CVV
UPI,13803,Y, 
Wallet,68188,N,Invalid Card
UPI,24064,Y, 
Wallet,66338,Y, 
UPI,77640,N,Invalid Internet Banking Account
Card,57882,N,Invalid Internet Banking Account
UPI,28180,N,Invalid CVV
UPI,54483,N,Invalid UPI Account
Wallet,60348,N,Invalid Card
Wallet,92512,N,Invalid Card
UPI,89166,Y, 
Wallet,60154,N,Invalid Card
Internet Banking,70454,N,Invalid Internet Banking Account
Card,97603,N,Invalid UPI Account
Internet Banking,29780,N,Invalid Card
Wallet,40308,Y, 
Wallet,46958,N,Invalid Internet Banking Account
Card,49749,N,Invalid CVV
Internet Banking,69785,Y, 
Card,62958,Y, 
Card,71270,N,Invalid CVV
Wallet,51812,Y, 
UPI,89434,N,Invalid Card
UPI,62530,Y, 
Card,39798,N,Invalid UPI Account
Card,70044,N,Invalid UPI Account
Wallet,59950,Y, 
Card,59305,N,Invalid Card
UPI,91193,Y, 
Card,14984,N,Invalid CVV
UPI,98803,N,Invalid Internet Banking Account
UPI,16665,N,Invalid UPI Account
Card,39138,Y, 
UPI,55653,N,Invalid Card
Card,16473,Y, 
Wallet,89747,N,Invalid Card
Internet Banking,22467,N,Invalid Internet Banking Account
UPI,76531,N,Invalid CVV
Card,54183,N,Invalid UPI Account
Internet Banking,28103,Y, 
UPI,30117,N,Invalid UPI Account
Wallet,35601,N,Invalid Internet Banking Account
Card,88335,N,Invalid Internet Banking Account
Internet Banking,32254,Y, 
Wallet,70007,Y, 
Card,41183,Y, 
UPI,46874,N,Invalid Internet Banking Account
Card,17840,N,Invalid Internet Banking Account
UPI,45172,Y, 
Internet Banking,16028,N,Invalid Card
Internet Banking,47516,Y, 
Wallet,84649,Y, 
UPI,67459,N,Invalid CVV
Internet Banking,52178,N,Invalid Card
Internet Banking,89171,Y, 
Card,40160,N,Invalid UPI Account
Wallet,72399,Y, 
Wallet,29902,N,Invalid CVV
Internet Banking,45210,N,Invalid CVV
Card,13387,Y, 
Wallet,94527,N,Invalid Card
UPI,91564,N,Invalid UPI Account
UPI,19428,N,Invalid Card
UPI,98907,Y, 
Card,90116,Y, 
Wallet,63335,Y, 
Wallet,12255,N,Invalid Card
UPI,11878,N,Invalid CVV
Wallet,51687,Y, 
Internet Banking,85730,Y, 
Wallet,90138,Y, 
Card,30274,N,Invalid Internet Banking Account
UPI,36838,N,Invalid UPI Account
Wallet,57174,Y, 
Card,71633,Y, 
Internet Banking,19681,Y, 
Card,97824,N,Invalid Card
Internet Banking,88970,N,Invalid UPI Account
Wallet,55030,Y, 
Wallet,12162,N,Invalid UPI Account
Card,93945,N,Invalid Internet Banking Account
Internet Banking,36782,N,Invalid Internet Banking Account
Internet Banking,77189,N,Invalid Internet Banking Account
UPI,64504,N,Invalid Internet Banking Account
Internet Banking,21319,Y, 
Wallet,32476,Y, 
Wallet,34476,N,Invalid CVV
Internet Banking,28606,N,Invalid UPI Account
UPI,45442,Y, 
Internet Banking,25574,N,Invalid Card
Wallet,81745,Y, 
UPI,24094,N,Invalid UPI Account
Card,57068,Y, 
UPI,93774,N,Invalid CVV
UPI,77506,Y, 
Wallet,99843,Y, 
Wallet,30805,Y, 
UPI,12302,Y, 
Card,55301,N,Invalid Internet Banking Account
Internet Banking,22263,Y, 
Wallet,78808,N,Invalid UPI Account
Card,59145,Y, 
Wallet,32916,N,Invalid Card
UPI,52062,N,Invalid Internet Banking Account
Internet Banking,83466,N,Invalid CVV
Wallet,89988,N,Invalid CVV
UPI,97812,N,Invalid UPI Account
Internet Banking,99235,N,Invalid CVV
Internet Banking,83817,N,Invalid UPI Account
Internet Banking,28465,N,Invalid Card
Internet Banking,85435,N,Invalid CVV
Internet Banking,66486,Y, 
UPI,55184,Y, 
Card,41782,Y, 
UPI,79557,N,Invalid UPI Account
UPI,92940,N,Invalid CVV
Internet Banking,99228,N,Invalid Card
Wallet,98973,Y, 
UPI,72279,N,Invalid CVV
Internet Banking,42460,N,Invalid Internet Banking Account
UPI,42428,N,Invalid UPI Account
Wallet,91346,Y, 
UPI,44698,Y, 
Card,95859,Y, 
Card,15230,Y, 
Wallet,25598,Y, 
Internet Banking,32739,N,Invalid Internet Banking Account
UPI,67584,N,Invalid Card
UPI,50184,Y, 
Card,46384,N,Invalid CVV
Wallet,35153,Y, 
Internet Banking,79134,N,Invalid UPI Account
Internet Banking,27979,Y, 
Wallet,71559,N,Invalid CVV
